Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_007JTNB8	WGS	Ependymoma	1	2923762032	0.0003420250995310825
BS_00TRPEQX	WGS	HGAT	54	2923762032	0.018469355374678455
BS_01DQH017	WGS	Ependymoma	9	2923762032	0.0030782258957797425
BS_01Y5F4PN	WGS	LGAT	4	2923762032	0.00136810039812433
BS_02W5H7K5	WGS	Other	2	2923762032	0.000684050199062165
BS_02YBZSBY	WGS	HGAT	9027	2923762032	3.0874605734670815
BS_02ZSVZCB	WGS	CNS sarcoma	11	2923762032	0.0037622760948419075
BS_03SSN1N2	WGS	LGAT	2	2923762032	0.000684050199062165
BS_042DVDQM	WGS	LGAT	6	2923762032	0.002052150597186495
BS_04B8X54S	WGS	LGAT	2	2923762032	0.000684050199062165
BS_05S9WJW6	WGS	Medulloblastoma	10	2923762032	0.0034202509953108248
BS_060QB7XB	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_06GEF6DB	WGS	Medulloblastoma	10	2923762032	0.0034202509953108248
BS_06GPPDHZ	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_090GV72Q	WGS	Schwannoma	4	2923762032	0.00136810039812433
BS_0ATJ22QA	WGS	HGAT	17	2923762032	0.005814426692028403
BS_0DKPGQWD	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_0EN5R1AP	WGS	ATRT	4	2923762032	0.00136810039812433
BS_0FQKT8EY	WGS	ATRT	51	2923762032	0.017443280076085206
BS_0J5GC803	WGS	Medulloblastoma	6	2923762032	0.002052150597186495
BS_0J5MCBZV	WGS	Medulloblastoma	15	2923762032	0.005130376492966237
BS_0Q8G4N8H	WGS	Choroid plexus tumor	4	2923762032	0.00136810039812433
BS_0QEBZX3M	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_0RF0G9SQ	WGS	Medulloblastoma	9	2923762032	0.0030782258957797425
BS_0S617SMM	WGS	LGAT	6	2923762032	0.002052150597186495
BS_0SFXXBQ5	WGS	Craniopharyngioma	2	2923762032	0.000684050199062165
BS_0W8AWY10	WGS	Ependymoma	1	2923762032	0.0003420250995310825
BS_0XD58YD9	WGS	LGAT	2	2923762032	0.000684050199062165
BS_0YVR8Q4E	WGS	Ganglioglioma	2	2923762032	0.000684050199062165
BS_0ZR4XA69	WGS	CNS lymphoma	13	2923762032	0.0044463262939040725
BS_10AD3EFX	WGS	LGAT	6	2923762032	0.002052150597186495
BS_10HD18B8	WGS	Teratoma	3	2923762032	0.0010260752985932476
BS_10V9SAG8	WGS	Medulloblastoma	20	2923762032	0.0068405019906216495
BS_1135HC0V	WGS	Other	1	2923762032	0.0003420250995310825
BS_12ZB7R6A	WGS	ATRT	5	2923762032	0.0017101254976554124
BS_154FP4ZQ	WGS	Hemangioblastoma	4	2923762032	0.00136810039812433
BS_164KRQJ0	WGS	Medulloblastoma	5	2923762032	0.0017101254976554124
BS_16FT8V4B	WGS	LGAT	4	2923762032	0.00136810039812433
BS_16TBX6G5	WGS	LGAT	4	2923762032	0.00136810039812433
BS_185Q218S	WGS	Medulloblastoma	7	2923762032	0.0023941756967175774
BS_18NCV5QZ	WGS	Meningioma	32	2923762032	0.01094480318499464
BS_19EJ85F8	WGS	ATRT	7	2923762032	0.0023941756967175774
BS_1AZ8YJSH	WGS	Ependymoma	3	2923762032	0.0010260752985932476
BS_1B4Q7CNG	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_1C4WCNQF	WGS	ATRT	20	2923762032	0.0068405019906216495
BS_1CZPVCXR	WGS	Medulloblastoma	101	2923762032	0.03454453505263933
BS_1EQGGHHQ	WGS	Adenoma	3	2923762032	0.0010260752985932476
BS_1EYKDS0Z	WGS	Choroid plexus tumor	3	2923762032	0.0010260752985932476
BS_1GK2EMFY	WGS	LGAT	2	2923762032	0.000684050199062165
BS_1JGQPJH3	WGS	Meningioma	37	2923762032	0.012654928682650052
BS_1JMTTKMK	WGS	Medulloblastoma	23	2923762032	0.007866577289214898
BS_1M63B97V	WGS	HGAT	54	2923762032	0.018469355374678455
BS_1MME7FBS	WGS	HGAT	18	2923762032	0.006156451791559485
BS_1Q524P3B	WGS	HGAT	33	2923762032	0.011286828284525723
BS_1RF75MK2	WGS	Ganglioglioma	2	2923762032	0.000684050199062165
BS_1RFBH1SP	WGS	Neurofibroma	1	2923762032	0.0003420250995310825
BS_1RTE2KEX	WXS	HGAT	13	149089890	0.08719571796585268
BS_1S2BHJ8K	WGS	Medulloblastoma	121	2923762032	0.041385037043260985
BS_1S5V7WWC	WGS	HGAT	19	2923762032	0.006498476891090567
BS_1VMBA3BN	WGS	LGAT	2	2923762032	0.000684050199062165
BS_20TBZG09	WGS	HGAT	9640	2923762032	3.297121959479635
BS_20X874J5	WGS	Medulloblastoma	7	2923762032	0.0023941756967175774
BS_22VCR7DF	WGS	HGAT	40	2923762032	0.013681003981243299
BS_230S192D	WGS	HGAT	24	2923762032	0.00820860238874598
BS_235QEYMQ	WGS	LGAT	14	2923762032	0.004788351393435155
BS_23ZE42Q3	WGS	HGAT	21	2923762032	0.007182527090152733
BS_245CTSH9	WGS	LGAT	2	2923762032	0.000684050199062165
BS_25VZM81R	WGS	Other	53	2923762032	0.01812733027514737
BS_2AWCKNB3	WGS	Meningioma	4	2923762032	0.00136810039812433
BS_2CD1XWVP	WGS	Dysplasia	3	2923762032	0.0010260752985932476
BS_2CQ6K2JW	WGS	LGAT	2	2923762032	0.000684050199062165
BS_2F70R10Z	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_2HDEZFTW	WXS	HGAT	12	149089890	0.08048835504540247
BS_2HNHCSNB	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_2J4FG4HV	WGS	Medulloblastoma	16	2923762032	0.00547240159249732
BS_2JDVY4F7	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_2KMB51YF	WXS	HGAT	2	149089890	0.013414725840900412
BS_2NN6ME5A	WGS	LGAT	16	2923762032	0.00547240159249732
BS_2P7MJGM7	WGS	Ependymoma	2	2923762032	0.000684050199062165
BS_2RJN5Z4W	WGS	LGAT	2	2923762032	0.000684050199062165
BS_2RX2NF1Q	WGS	Medulloblastoma	46	2923762032	0.015733154578429796
BS_2SG8JNMB	WGS	LGAT	8	2923762032	0.00273620079624866
BS_2VB8649B	WGS	LGAT	6	2923762032	0.002052150597186495
BS_2VHFP7M8	WGS	Craniopharyngioma	1	2923762032	0.0003420250995310825
BS_2W200YK5	WGS	Meningioma	8	2923762032	0.00273620079624866
BS_2Z9JQDPV	WGS	Other	2	2923762032	0.000684050199062165
BS_30W38X77	WGS	LGAT	2	2923762032	0.000684050199062165
BS_3108RS7G	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_328C4BW5	WXS	HGAT	11	149089890	0.07378099212495227
BS_32HAVF6S	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_32VQRFDS	WGS	Other	1	2923762032	0.0003420250995310825
BS_354DTKHE	WGS	Meningioma	2	2923762032	0.000684050199062165
BS_36HCZ3KW	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_376Q9QKG	WGS	Ependymoma	1	2923762032	0.0003420250995310825
BS_39Q80NT3	WGS	Medulloblastoma	7	2923762032	0.0023941756967175774
BS_3A0CJMRH	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_3AERRZQT	WGS	LGAT	5	2923762032	0.0017101254976554124
BS_3BMGF6GN	WGS	HGAT	27	2923762032	0.009234677687339227
BS_3C4YAMKJ	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_3CG2N4PD	WGS	Medulloblastoma	36	2923762032	0.01231290358311897
BS_3E5C1PN1	WGS	HGAT	17	2923762032	0.005814426692028403
BS_3JE2T7AR	WGS	Medulloblastoma	6	2923762032	0.002052150597186495
BS_3MYQP7P5	WGS	LGAT	6	2923762032	0.002052150597186495
BS_3NX3RBCX	WGS	HGAT	32	2923762032	0.01094480318499464
BS_3P96RT4E	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_3QDRWJCF	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_3R0KN6Z4	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_3VKW5988	WGS	HGAT	6	2923762032	0.002052150597186495
BS_3Y44RJXS	WGS	Ganglioglioma	2	2923762032	0.000684050199062165
BS_3Z40EZHD	WGS	HGAT	10	2923762032	0.0034202509953108248
BS_3ZMH8578	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_402W79TS	WXS	HGAT	9	149089890	0.06036626628405185
BS_40FX713C	WGS	Medulloblastoma	18	2923762032	0.006156451791559485
BS_40SJZGT2	WGS	LGAT	5	2923762032	0.0017101254976554124
BS_41TD9XET	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_42A66SH4	WGS	Langerhans Cell histiocytosis	2	2923762032	0.000684050199062165
BS_45913DTA	WGS	LGAT	3	2923762032	0.0010260752985932476
BS_47454JJ6	WGS	LGAT	2	2923762032	0.000684050199062165
BS_47X3VAM0	WGS	Medulloblastoma	8	2923762032	0.00273620079624866
BS_4DQAQFQH	WGS	HGAT	20	2923762032	0.0068405019906216495
BS_4DTX295Z	WGS	Ganglioglioma	18	2923762032	0.006156451791559485
BS_4DY83R02	WGS	Embryonal Tumor	3	2923762032	0.0010260752985932476
BS_4G9Y2VC6	WGS	DNET	2	2923762032	0.000684050199062165
BS_4GKH983E	WGS	LGAT	16	2923762032	0.00547240159249732
BS_4NPEMNAD	WGS	CNS neuroblastoma	6	2923762032	0.002052150597186495
BS_4P25NNZD	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_4PAE19ZC	WGS	Ependymoma	1	2923762032	0.0003420250995310825
BS_4QFSH7C4	WGS	LGAT	69	2923762032	0.02359973186764469
BS_4RS1SC48	WGS	Ganglioglioma	4	2923762032	0.00136810039812433
BS_4T8J7JEP	WGS	Meningioma	1	2923762032	0.0003420250995310825
BS_4Z6F1HJZ	WGS	Other	4	2923762032	0.00136810039812433
BS_4ZKN0WGS	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_50XV7CTQ	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_52ETE050	WXS	HGAT	3	149089890	0.020122088761350618
BS_53TV75NN	WGS	ATRT	3	2923762032	0.0010260752985932476
BS_541KKASA	WXS	HGAT	17	149089890	0.11402516964765351
BS_55N7KFHW	WGS	Ependymoma	9	2923762032	0.0030782258957797425
BS_58X7SKJS	WGS	HGAT	16	2923762032	0.00547240159249732
BS_5968GBGT	WGS	HGAT	11	2923762032	0.0037622760948419075
BS_59FR1NC2	WGS	Chordoma	3	2923762032	0.0010260752985932476
BS_5B6XZ7YP	WGS	Chordoma	10	2923762032	0.0034202509953108248
BS_5BMNK8SY	WGS	Medulloblastoma	15	2923762032	0.005130376492966237
BS_5BNV7MCF	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_5CCAC8TZ	WXS	HGAT	10	149089890	0.06707362920450206
BS_5D24XV4T	WGS	Ependymoma	3	2923762032	0.0010260752985932476
BS_5FBN4PPQ	WXS	HGAT	18	149089890	0.1207325325681037
BS_5J5VH3X0	WGS	Embryonal Tumor	1	2923762032	0.0003420250995310825
BS_5JC116NM	WGS	Medulloblastoma	59	2923762032	0.020179480872333868
BS_5KFAEMQJ	WGS	Medulloblastoma	5	2923762032	0.0017101254976554124
BS_5KK9P7XD	WGS	Other	2	2923762032	0.000684050199062165
BS_5NAKYS1S	WGS	LGAT	1	2923762032	0.0003420250995310825
BS_5R0HHQ1Y	WGS	LGAT	6	2923762032	0.002052150597186495
BS_5RD8KEED	WGS	Teratoma	5	2923762032	0.0017101254976554124
BS_5S8VXASX	WGS	Schwannoma	1	2923762032	0.0003420250995310825
BS_5V2FBYQG	WGS	Ganglioglioma	2	2923762032	0.000684050199062165
BS_5V2XCW17	WGS	Ependymoma	3	2923762032	0.0010260752985932476
