Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_0AK4F99X	WGS	HGAT	25	2923762032	0.008550627488277063
BS_0ATJ22QA	WGS	HGAT	27	2923762032	0.009234677687339227
BS_169P1QCA	WGS	HGAT	24	2923762032	0.00820860238874598
BS_1MME7FBS	WGS	HGAT	25	2923762032	0.008550627488277063
BS_1Q524P3B	WGS	HGAT	42	2923762032	0.014365054180305465
BS_22VCR7DF	WGS	HGAT	58	2923762032	0.019837455772802784
BS_2NDRETB2	WGS	HGAT	33	2923762032	0.011286828284525723
BS_2X60Q1ET	WGS	HGAT	14	2923762032	0.004788351393435155
BS_38CD519Z	WGS	HGAT	29	2923762032	0.009918727886401392
BS_3VKW5988	WGS	HGAT	16	2923762032	0.00547240159249732
BS_3Z40EZHD	WGS	HGAT	21	2923762032	0.007182527090152733
BS_4DQAQFQH	WGS	HGAT	25	2923762032	0.008550627488277063
BS_4DYW3T2A	WGS	HGAT	27	2923762032	0.009234677687339227
BS_4PM2QG9C	WGS	HGAT	21	2923762032	0.007182527090152733
BS_5968GBGT	WGS	HGAT	22	2923762032	0.007524552189683815
BS_5Z0GA574	WGS	HGAT	21	2923762032	0.007182527090152733
BS_682Z7WH6	WGS	HGAT	23	2923762032	0.007866577289214898
BS_6JBE0947	WGS	HGAT	53	2923762032	0.01812733027514737
BS_7G3AFSCR	WGS	HGAT	11	2923762032	0.0037622760948419075
BS_7GKF6M85	WGS	HGAT	26	2923762032	0.008892652587808145
BS_7PF3C1P7	WGS	HGAT	20	2923762032	0.0068405019906216495
BS_8SYN7GXG	WGS	HGAT	31	2923762032	0.010602778085463557
BS_9P4NDTKJ	WGS	HGAT	58	2923762032	0.019837455772802784
BS_AF5D41PD	WGS	HGAT	18	2923762032	0.006156451791559485
BS_AHAXPFG3	WGS	HGAT	38	2923762032	0.012996953782181134
BS_AK9BV52G	WGS	HGAT	38	2923762032	0.012996953782181134
BS_B19AWBBW	WGS	HGAT	41	2923762032	0.014023029080774383
BS_B4PPG3X5	WGS	HGAT	13	2923762032	0.0044463262939040725
BS_BQ81D2BP	WGS	HGAT	17	2923762032	0.005814426692028403
BS_CBMAWSAR	WGS	HGAT	25	2923762032	0.008550627488277063
BS_CD7AXQM8	WGS	HGAT	22	2923762032	0.007524552189683815
BS_CGXTFM67	WGS	HGAT	17	2923762032	0.005814426692028403
BS_D6STCMQS	WGS	HGAT	46	2923762032	0.015733154578429796
BS_DRVEFVQ5	WGS	HGAT	35	2923762032	0.011970878483587888
BS_DVDT4VXQ	WGS	HGAT	27	2923762032	0.009234677687339227
BS_EE73VE7V	WGS	HGAT	11	2923762032	0.0037622760948419075
BS_FK3B5SDH	WGS	HGAT	12	2923762032	0.00410430119437299
BS_G65EA38C	WGS	HGAT	34	2923762032	0.011628853384056805
BS_H8NWA41N	WGS	HGAT	28	2923762032	0.00957670278687031
BS_HEJ72V3F	WGS	HGAT	37	2923762032	0.012654928682650052
BS_HYKV2TH9	WGS	HGAT	29	2923762032	0.009918727886401392
BS_J8EH1N7V	WGS	HGAT	28	2923762032	0.00957670278687031
BS_J8EK6RNF	WGS	HGAT	50	2923762032	0.017101254976554126
BS_JD05XR6E	WGS	HGAT	36	2923762032	0.01231290358311897
BS_JDZX545X	WGS	HGAT	19	2923762032	0.006498476891090567
BS_JRFVST47	WGS	HGAT	22	2923762032	0.007524552189683815
BS_KQRAHH6Y	WGS	HGAT	27	2923762032	0.009234677687339227
BS_M0B42FPR	WGS	HGAT	23	2923762032	0.007866577289214898
BS_M5FM63EB	WGS	HGAT	25	2923762032	0.008550627488277063
BS_NNFDFAFM	WGS	HGAT	22	2923762032	0.007524552189683815
BS_Q6GVRAWK	WGS	HGAT	11	2923762032	0.0037622760948419075
BS_QFH9XM6Q	WGS	HGAT	37	2923762032	0.012654928682650052
BS_QZRP3NSG	WGS	HGAT	50	2923762032	0.017101254976554126
BS_R6CKWZW6	WGS	HGAT	21	2923762032	0.007182527090152733
BS_RWJ0571Q	WGS	HGAT	61	2923762032	0.020863531071396033
BS_TQ0J7WJQ	WGS	HGAT	22	2923762032	0.007524552189683815
BS_VCE73HPW	WGS	HGAT	39	2923762032	0.013338978881712217
BS_VXDGXQKZ	WGS	HGAT	10	2923762032	0.0034202509953108248
BS_X5VN0FW0	WGS	HGAT	35	2923762032	0.011970878483587888
BS_X6H86RTA	WGS	HGAT	38	2923762032	0.012996953782181134
BS_Y74XAFJX	WGS	HGAT	27	2923762032	0.009234677687339227
BS_Y96RP1HJ	WGS	HGAT	41	2923762032	0.014023029080774383
BS_YHXMYDBN	WGS	HGAT	38	2923762032	0.012996953782181134
BS_YZD4SSMA	WGS	HGAT	58	2923762032	0.019837455772802784
BS_Z3AB3KMP	WGS	HGAT	31	2923762032	0.010602778085463557
BS_Z64NEPNE	WGS	HGAT	20	2923762032	0.0068405019906216495
BS_ZSH09N84	WGS	HGAT	26	2923762032	0.008892652587808145
