Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_1RTE2KEX	WXS	HGAT	31	149089890	0.2079282505339564
BS_2HDEZFTW	WXS	HGAT	29	149089890	0.194513524693056
BS_2KMB51YF	WXS	HGAT	15	149089890	0.10061044380675309
BS_328C4BW5	WXS	HGAT	28	149089890	0.18780616177260578
BS_402W79TS	WXS	HGAT	23	149089890	0.15426934717035473
BS_52ETE050	WXS	HGAT	18	149089890	0.1207325325681037
BS_541KKASA	WXS	HGAT	32	149089890	0.2146356134544066
BS_5CCAC8TZ	WXS	HGAT	33	149089890	0.2213429763748568
BS_5FBN4PPQ	WXS	HGAT	43	149089890	0.2884166055793589
BS_6687ZNGS	WXS	HGAT	28	149089890	0.18780616177260578
BS_6B62YT97	WXS	HGAT	19	149089890	0.12743989548855392
BS_6DT506HY	WXS	HGAT	107	149089890	0.717687832488172
BS_6VTQ3W4M	WXS	HGAT	21	149089890	0.14085462132945434
BS_74SJ7YV4	WXS	HGAT	21	149089890	0.14085462132945434
BS_74TZJTW0	WXS	HGAT	23	149089890	0.15426934717035473
BS_7KR13R3P	WXS	HGAT	3	149089890	0.020122088761350618
BS_9DN4QR6E	WXS	HGAT	42	149089890	0.2817092426589087
BS_A6YJ3WG2	WXS	HGAT	25	149089890	0.16768407301125515
BS_AEEKJ1QK	WXS	HGAT	16	149089890	0.1073178067272033
BS_CX6KACX6	WXS	HGAT	42	149089890	0.2817092426589087
BS_FWP8ZA4K	WXS	HGAT	30	149089890	0.20122088761350618
BS_GBT44HST	WXS	HGAT	23	149089890	0.15426934717035473
BS_GKXD33YH	WXS	HGAT	46	149089890	0.30853869434070946
BS_H3TYF6GD	WXS	HGAT	40	149089890	0.26829451681800826
BS_JCWD4DMA	WXS	HGAT	41	149089890	0.27500187973845847
BS_KPG4WCHS	WXS	HGAT	21	149089890	0.14085462132945434
BS_P7VR731D	WXS	HGAT	16	149089890	0.1073178067272033
BS_QZPGVNBB	WXS	HGAT	33	149089890	0.2213429763748568
BS_TYFD8ZMG	WXS	HGAT	25	149089890	0.16768407301125515
BS_WYTDVC0Y	WXS	HGAT	30	149089890	0.20122088761350618
BS_XPZAD9PP	WXS	HGAT	25	149089890	0.16768407301125515
BS_Y0DGBKTY	WXS	HGAT	39	149089890	0.26158715389755804
