Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_007JTNB8	WGS	Ependymoma	1	3088286401	0.0003238041652083161
BS_00TRPEQX	WGS	HGAT	54	3088286401	0.01748542492124907
BS_01DQH017	WGS	Ependymoma	9	3088286401	0.002914237486874845
BS_01Y5F4PN	WGS	LGAT	4	3088286401	0.0012952166608332645
BS_02W5H7K5	WGS	Other	2	3088286401	0.0006476083304166322
BS_02YBZSBY	WGS	HGAT	9027	3088286401	2.92298019933547
BS_02ZSVZCB	WGS	CNS sarcoma	11	3088286401	0.0035618458172914772
BS_03SSN1N2	WGS	LGAT	2	3088286401	0.0006476083304166322
BS_042DVDQM	WGS	LGAT	6	3088286401	0.0019428249912498967
BS_04B8X54S	WGS	LGAT	2	3088286401	0.0006476083304166322
BS_05S9WJW6	WGS	Medulloblastoma	10	3088286401	0.003238041652083161
BS_060QB7XB	WGS	LGAT	3	3088286401	0.0009714124956249484
BS_06GEF6DB	WGS	Medulloblastoma	10	3088286401	0.003238041652083161
BS_06GPPDHZ	WGS	LGAT	3	3088286401	0.0009714124956249484
BS_090GV72Q	WGS	Schwannoma	4	3088286401	0.0012952166608332645
BS_0ATJ22QA	WGS	HGAT	17	3088286401	0.005504670808541374
BS_0DKPGQWD	WGS	LGAT	1	3088286401	0.0003238041652083161
BS_0EN5R1AP	WGS	ATRT	4	3088286401	0.0012952166608332645
BS_0FQKT8EY	WGS	ATRT	51	3088286401	0.01651401242562412
BS_0J5GC803	WGS	Medulloblastoma	6	3088286401	0.0019428249912498967
BS_0J5MCBZV	WGS	Medulloblastoma	15	3088286401	0.004857062478124742
BS_0Q8G4N8H	WGS	Choroid plexus tumor	4	3088286401	0.0012952166608332645
BS_0QEBZX3M	WGS	LGAT	1	3088286401	0.0003238041652083161
BS_0RF0G9SQ	WGS	Medulloblastoma	9	3088286401	0.002914237486874845
BS_0S617SMM	WGS	LGAT	6	3088286401	0.0019428249912498967
BS_0SFXXBQ5	WGS	Craniopharyngioma	2	3088286401	0.0006476083304166322
BS_0W8AWY10	WGS	Ependymoma	1	3088286401	0.0003238041652083161
BS_0XD58YD9	WGS	LGAT	2	3088286401	0.0006476083304166322
BS_0YVR8Q4E	WGS	Ganglioglioma	2	3088286401	0.0006476083304166322
BS_0ZR4XA69	WGS	CNS lymphoma	13	3088286401	0.004209454147708109
BS_10AD3EFX	WGS	LGAT	6	3088286401	0.0019428249912498967
BS_10HD18B8	WGS	Teratoma	3	3088286401	0.0009714124956249484
BS_10V9SAG8	WGS	Medulloblastoma	20	3088286401	0.006476083304166322
BS_1135HC0V	WGS	Other	1	3088286401	0.0003238041652083161
BS_12ZB7R6A	WGS	ATRT	5	3088286401	0.0016190208260415805
BS_154FP4ZQ	WGS	Hemangioblastoma	4	3088286401	0.0012952166608332645
BS_164KRQJ0	WGS	Medulloblastoma	5	3088286401	0.0016190208260415805
BS_16FT8V4B	WGS	LGAT	4	3088286401	0.0012952166608332645
BS_16TBX6G5	WGS	LGAT	4	3088286401	0.0012952166608332645
BS_185Q218S	WGS	Medulloblastoma	7	3088286401	0.0022666291564582127
BS_18NCV5QZ	WGS	Meningioma	32	3088286401	0.010361733286666116
BS_19EJ85F8	WGS	ATRT	7	3088286401	0.0022666291564582127
BS_1AZ8YJSH	WGS	Ependymoma	3	3088286401	0.0009714124956249484
BS_1B4Q7CNG	WGS	LGAT	1	3088286401	0.0003238041652083161
BS_1C4WCNQF	WGS	ATRT	20	3088286401	0.006476083304166322
BS_1CZPVCXR	WGS	Medulloblastoma	101	3088286401	0.032704220686039925
BS_1EQGGHHQ	WGS	Adenoma	3	3088286401	0.0009714124956249484
BS_1EYKDS0Z	WGS	Choroid plexus tumor	3	3088286401	0.0009714124956249484
BS_1GK2EMFY	WGS	LGAT	2	3088286401	0.0006476083304166322
BS_1JGQPJH3	WGS	Meningioma	37	3088286401	0.011980754112707697
BS_1JMTTKMK	WGS	Medulloblastoma	23	3088286401	0.007447495799791271
