Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_1RTE2KEX	WXS	HGAT	13	149089890	0.08719571796585268
BS_2HDEZFTW	WXS	HGAT	12	149089890	0.08048835504540247
BS_2KMB51YF	WXS	HGAT	2	149089890	0.013414725840900412
BS_328C4BW5	WXS	HGAT	11	149089890	0.07378099212495227
BS_402W79TS	WXS	HGAT	9	149089890	0.06036626628405185
BS_52ETE050	WXS	HGAT	3	149089890	0.020122088761350618
BS_541KKASA	WXS	HGAT	17	149089890	0.11402516964765351
BS_5CCAC8TZ	WXS	HGAT	10	149089890	0.06707362920450206
BS_5FBN4PPQ	WXS	HGAT	18	149089890	0.1207325325681037
BS_6687ZNGS	WXS	HGAT	15	149089890	0.10061044380675309
BS_6B62YT97	WXS	HGAT	12	149089890	0.08048835504540247
BS_6DT506HY	WXS	HGAT	16	149089890	0.1073178067272033
BS_6VTQ3W4M	WXS	HGAT	6	149089890	0.040244177522701235
BS_74SJ7YV4	WXS	HGAT	10	149089890	0.06707362920450206
BS_74TZJTW0	WXS	HGAT	13	149089890	0.08719571796585268
BS_9DN4QR6E	WXS	HGAT	17	149089890	0.11402516964765351
BS_A6YJ3WG2	WXS	HGAT	7	149089890	0.046951540443151446
BS_AEEKJ1QK	WXS	HGAT	5	149089890	0.03353681460225103
BS_CX6KACX6	WXS	HGAT	15	149089890	0.10061044380675309
BS_FWP8ZA4K	WXS	HGAT	16	149089890	0.1073178067272033
BS_GBT44HST	WXS	HGAT	8	149089890	0.05365890336360165
BS_GKXD33YH	WXS	HGAT	29	149089890	0.194513524693056
BS_H3TYF6GD	WXS	HGAT	25	149089890	0.16768407301125515
BS_JCWD4DMA	WXS	HGAT	13	149089890	0.08719571796585268
BS_KPG4WCHS	WXS	HGAT	10	149089890	0.06707362920450206
BS_P7VR731D	WXS	HGAT	9	149089890	0.06036626628405185
BS_QZPGVNBB	WXS	HGAT	16	149089890	0.1073178067272033
BS_TYFD8ZMG	WXS	HGAT	8	149089890	0.05365890336360165
BS_WYTDVC0Y	WXS	HGAT	14	149089890	0.09390308088630289
BS_XPZAD9PP	WXS	HGAT	15	149089890	0.10061044380675309
BS_Y0DGBKTY	WXS	HGAT	7	149089890	0.046951540443151446
