Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_9DM8H1RX	Signature.1	0.32567303245734686	HGAT	WGS	129.9435399504814	3088286401	0.04207625947787911
BS_JGKRN7NA	Signature.1	0.07058680762708966	HGAT	WGS	45.66966453472701	3088286401	0.014788027600011121
BS_QG6V29H7	Signature.1	0.29673644153406753	HGAT	WGS	63.501598488290455	3088286401	0.020562082087894562
BS_02YBZSBY	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_85Q5P8GF	Signature.1	1	HGAT	WGS	1449	3088286401	0.46919223538685007
BS_G16NM5WJ	Signature.1	0.7597589404338607	HGAT	WGS	115.48335894594683	3088286401	0.03739399263894464
BS_G9MQM1KK	Signature.1	0.18767143331664973	HGAT	WGS	373.466152300133	3088286401	0.12092989567910642
BS_RXP2ZRQT	Signature.1	0.17720854277798315	HGAT	WGS	89.66752264565947	3088286401	0.02903471731657555
BS_8AY2GM4G	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_WJB33V17	Signature.1	0.7410341662804704	HGAT	WGS	804.7631045805908	3088286401	0.26058564526917105
BS_TX8C5VAJ	Signature.1	0.5664499011646688	HGAT	WGS	105.3596816166284	3088286401	0.034115903752486326
BS_823V5X6Z	Signature.1	0.3996858822443838	HGAT	WGS	292.9697516851333	3088286401	0.09486482587569225
BS_KSHETTQC	Signature.1	0.3407761563659751	HGAT	WGS	15.675703192834854	3088286401	0.005075857986409226
BS_RXSBJ929	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_H0638GZT	Signature.1	0.4334451581934104	HGAT	WGS	81.92113489855457	3088286401	0.026526404698744316
BS_80078QDG	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_NJFK43N3	Signature.1	0.8393906230613206	HGAT	WGS	92.33296853674527	3088286401	0.02989779979824652
BS_742CDKAS	Signature.1	0.15736126821759142	HGAT	WGS	1044.7214596965894	3088286401	0.3382851601322676
BS_TF5TTEXH	Signature.1	0.08001707462894578	HGAT	WGS	347.75420633739833	3088286401	0.11260426048076179
BS_8Q8N6AHW	Signature.1	0.4463452294158248	HGAT	WGS	1847.4229045520988	3088286401	0.598203231395215
BS_T7WMJ08W	Signature.1	0.47300707435397943	HGAT	WGS	308.87361955314856	3088286401	0.1000145645342783
BS_X1DSETVE	Signature.1	0.1534361847472565	HGAT	WGS	137.01851297930006	3088286401	0.04436716521334708
BS_D368BNRD	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_SKRY0BJ4	Signature.1	0.9581173705388004	HGAT	WGS	140.84325346920366	3088286401	0.045605632114818766
BS_23ZE42Q3	Signature.1	0.20676484795777078	HGAT	WGS	593.2083487908444	3088286401	0.192083334174823
BS_P0QJ1QAH	Signature.1	0.9000636439421387	HGAT	WGS	1739.823023740154	3088286401	0.563361941812389
BS_D6XHKZDZ	Signature.1	0.3517847883471086	HGAT	WGS	89.35333624016558	3088286401	0.028932982449824795
BS_ERAWW3H7	Signature.1	0.33937579493581965	HGAT	WGS	173.08165541726802	3088286401	0.056044560945261904
BS_20TBZG09	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_FKQ7F6D1	Signature.1	0.11178463283960152	HGAT	WGS	336.02460631584216	3088286401	0.10880616713755435
BS_QQP17PDQ	Signature.1	0.08892038240646896	HGAT	WGS	428.329482051961	3088286401	0.13869487036994566
BS_HJ95JNFN	Signature.1	0.8733527185378179	HGAT	WGS	68.99486476448762	3088286401	0.022340824588725577
BS_XGVSX8BX	Signature.1	0.4032771875048497	HGAT	WGS	767.436487821729	3088286401	0.24849913128951703
BS_AFBPM6CN	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_P3PF53V8	Signature.1	0.9461075729636751	HGAT	WGS	3772.1308934061726	3088286401	1.2214316949958854
BS_M4E4H6NG	Signature.1	0.5382662539141218	HGAT	WGS	1117.979009379631	3088286401	0.36200625985259166
BS_230S192D	Signature.1	0.25471064291681456	HGAT	WGS	667.596595084971	3088286401	0.21617055816740327
BS_GKPVZXYP	Signature.1	0.2625968461456415	HGAT	WGS	429.8710371404151	3088286401	0.13919403232848518
BS_VW4XN9Y7	Signature.1	0.07595500305203416	HGAT	WGS	5854.231860235533	3088286401	1.8956246604394944
BS_3BMGF6GN	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_ERFMPQN3	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_58X7SKJS	Signature.1	0.3317399746428899	HGAT	WGS	781.5793802586486	3088286401	0.2530786587686848
BS_F064HMTP	Signature.1	0.5759562012237963	HGAT	WGS	114.03932784231166	3088286401	0.03692640935289721
BS_RG6JK7ZN	Signature.1	0.10775999870029547	HGAT	WGS	186.96359774501263	3088286401	0.06053959169216723
BS_EPM623G4	Signature.1	0.6056462550142143	HGAT	WGS	2246.3419598477208	3088286401	0.727374883080904
BS_YB99Q6TN	Signature.1	0.560712036013116	HGAT	WGS	578.0941091295226	3088286401	0.18718928041853028
BS_PKZ1HWNB	Signature.1	0.13299927066816053	HGAT	WGS	957.8607473520922	3088286401	0.310159299682158
BS_MW63FCZC	Signature.1	0.28186353148923493	HGAT	WGS	28.750080211901963	3088286401	0.009309395722687044
BS_1S5V7WWC	Signature.1	0.5611634515830322	HGAT	WGS	864.1917154378696	3088286401	0.279828876997302
BS_AYPBAHJ6	Signature.1	0.17745664428978766	HGAT	WGS	601.5780241423802	3088286401	0.19479346991509167
